zenodo_id	title	url	data_type	prob_eye_imaging	img_files	archives	size_mb
13171217	Fig. 6 in 3D- microanatomy of the semiterrestrial slug Gascoignella aprica Jensen, 1985-a basal plakobranchacean sacoglossan (Gastropoda, Panpulmonata	https://zenodo.org/records/13171217	data_files	0.847	1	0	0.1
12210617	Figure 4 in Notoraja hirticauda, a new species of skate (Chondrichthyes: Rajoidei) from the south-eastern Indian Ocean	https://zenodo.org/records/12210617	data_files	0.847	1	0	0.1
17037918	Afadin-deficient retinas exhibit severe neuronal lamination defects but preserve visual functions	https://zenodo.org/records/17037918	data_files	0.846	0	12	23137.0
14829342	Figure 9 in Neurovascular anatomy of the protostegid turtle Rhinochelys pulchriceps and comparisons of membranous and endosseous labyrinth shape in an	https://zenodo.org/records/14829342	data_files	0.845	1	0	1.1
5415722	FIG. 27 in Caudal Cranium Of Thylacosmilus Atrox (Mammalia, Metatheria, Sparassodonta), A South American Predaceous Sabertooth	https://zenodo.org/records/5415722	data_files	0.842	1	0	3.5
5210692	FIG. 29 in Alcidedorbignya inopinata, a basal pantodont (Placentalia, Mammalia) from the early Palaeocene of Bolivia: anatomy, phylogeny and palaeobio	https://zenodo.org/records/5210692	data_files	0.841	1	0	4.3
7318381	Figure 7 in Jurassic mammaliaform petrosals from Western Siberia (Russia) and implications for early mammalian inner-ear anatomy	https://zenodo.org/records/7318381	data_files	0.838	1	0	1.9
14829336	Figure 6 in Neurovascular anatomy of the protostegid turtle Rhinochelys pulchriceps and comparisons of membranous and endosseous labyrinth shape in an	https://zenodo.org/records/14829336	data_files	0.838	1	0	1.1
13134957	Fig. 11. A in Histopathological characterisation of retinal lesions associated to Diplostomum species (Platyhelminthes: Trematoda) infection in polymo	https://zenodo.org/records/13134957	data_files	0.837	1	0	2.7
13266866	Fig. 1. Abomasal tissue infected predominantly with A. sidemi. A in Nematode-induced pathological lesions and alterations of mucin pattern identified 	https://zenodo.org/records/13266866	data_files	0.836	1	0	2.8
15640692	Fig. 1 in A macroscopic classification of the embryonic development of the one-sided livebearer Jenynsia multidentata (Teleostei: Anablepidae)	https://zenodo.org/records/15640692	data_files	0.836	1	0	4.9
14827235	Figure 1 in Fiopt data on eaolv inptao Afootoopical Miltogoamminae (Dipteoa: Saocophagidae) oeveal unexpected moophological diveopitv	https://zenodo.org/records/14827235	data_files	0.836	1	0	10.5
241662	FIGURE 3 in Re-description of Craspodema reflectans (Nematoda, Cyatholaimidae) using confocal laser scanning microscopy	https://zenodo.org/records/241662	data_files	0.835	1	0	0.3
11999463	Fig. 6 3D in First evidence of PRoganoCHelYS QUenStedtii (Testudinata) from the PlateoSaURUS bonebeds (Norian, Late Triassic) of Frick, Canton Aargau,	https://zenodo.org/records/11999463	data_files	0.833	1	0	0.8
5210403	Figure 5 in Confocal laser scanning microscopy analysis of the phalloidin-labelled musculature in nemerteans	https://zenodo.org/records/5210403	data_files	0.832	1	0	2.7
4138957	Deep-tissue label-free quantitative optical tomography	https://zenodo.org/records/4138957	data_files	0.831	0	1	560.8
5375815	FIG. 3. — A-D, Monticulipora cystiphragmata n in New Monticuliporidae (Bryozoa, Trepostomata) from the Cystoid Limestone Formation (Upper Ordovician) 	https://zenodo.org/records/5375815	data_files	0.83	1	0	8.2
15702511	New insights into corneal development from vEM	https://zenodo.org/records/15702511	data_files	0.829	1	0	0.7
5349942	Fig. 24 in Cranial Anatomy Of Kryptobaatar Dashzevegi (Mammalia, Multituberculata), And Its Bearing On The Evolution Of Mammalian Characters	https://zenodo.org/records/5349942	data_files	0.829	1	0	0.0
12674694	Code for Enhancing Model Generalisability through Sampling Diverse and Balanced Retinal Images	https://zenodo.org/records/12674694	data_files	0.826	0	1	0.5
7322654	FIGURE 6 in New species of Temnocephala (Platyhelminthes, Temnocephalidae) ectosymbiont on decapod crustaceans Aegla jarai (Aeglidae) from Brazil and 	https://zenodo.org/records/7322654	data_files	0.824	1	0	5.8
5210698	FIG. 32 in Alcidedorbignya inopinata, a basal pantodont (Placentalia, Mammalia) from the early Palaeocene of Bolivia: anatomy, phylogeny and palaeobio	https://zenodo.org/records/5210698	data_files	0.824	1	0	1.2
5938758	#GliaMorph - Double-transgenic Müller Glia Data at 3dpf and 5dpf Zebrafish	https://zenodo.org/records/5938758	dataset_link	0.823	0	0	0.0
13180782	Fig. 3 in Early development of Monoplex pilearis and Monoplex parthenopeus (Gastropoda: Cymatiidae): biology and morphology	https://zenodo.org/records/13180782	data_files	0.82	1	0	0.3
13620122	FIGURE 8 in Endocranial morphology of the extinct Antillean shrew Nesophontes (Lipotyphla: Nesophontidae) from natural and digital endocasts of Cuban 	https://zenodo.org/records/13620122	data_files	0.818	1	0	2.0
7991552	Mellak/Toolbox-for-the-analysis-of-3D-OCT-images-of-murine-retina: v0.0.1	https://zenodo.org/records/7991552	data_files	0.818	0	1	1.3
5210754	FIG. 54 in Alcidedorbignya inopinata, a basal pantodont (Placentalia, Mammalia) from the early Palaeocene of Bolivia: anatomy, phylogeny and palaeobio	https://zenodo.org/records/5210754	data_files	0.818	1	0	4.2
7050989	A dataset of global variations in directional solar radiation exposure for ocular research using the libRadtran radiative transfer model	https://zenodo.org/records/7050989	data_files	0.818	0	1	29.6
5101351	Deconvolution Test Dataset	https://zenodo.org/records/5101351	data_files	0.818	5	0	576.8
3487091	Figure 5 from: Hosie AM, Fromont J, Munyard K, Jones DS (2019) Description of a new species of Membranobalanus (Crustacea, Cirripedia) from southern A	https://zenodo.org/records/3487091	data_files	0.817	1	0	0.7
13258831	Fig. 14 in Systematic revision of the Potamotrygon motoro (Müller & Henle, 1841) species complex in the Paraná-Paraguay basin, with description of two	https://zenodo.org/records/13258831	data_files	0.816	1	0	0.7
6941792	Gatta-SIM nanorulers	https://zenodo.org/records/6941792	data_files	0.814	5	0	12.6
282878	FIGURES 19–24 in Taxonomy of ' Euconnus complex'. Part I. Morphology of Euconnus s. str. and revision of Euconnomorphus Franz and Venezolanoconnus Fra	https://zenodo.org/records/282878	data_files	0.814	1	0	0.2
10625678	RachelQueen1/BBSRC_Retina: Developing human retina v1.0.1	https://zenodo.org/records/10625678	data_files	0.813	0	1	0.1
3768343	Figure 22 in Cretaceous Crocodyliforms from the Sahara	https://zenodo.org/records/3768343	data_files	0.811	1	0	1.3
7695704	Speleomantes Dubois 1984	https://zenodo.org/records/7695704	related_dataset	0.81	0	0	0.0
